timestamp,stationCode,stationName,latitude,longitude,radiacao,vento_rajada,vento_direcao,umid_max,umid_min,temp_max,pressao,pressao_min,pto_orvalho_inst,pto_orvalho_max,vento_vel,temp_min,pressao_max,pto_orvalho_min,temp_inst,umid_inst,precipitacao
1567306800000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,9.9,176,33,30,24.3,977.5,977.5,6.1,6.2,3.6,23.4,977.8,5.5,23.4,33,0.0
1567310400000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,7.6,167,36,33,23.4,976.9,976.9,6.8,6.8,0.2,22.5,977.5,6.2,22.5,36,0.0
1567314000000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,5.9,177,42,36,22.5,976.7,976.7,8.1,8.1,0.2,21.7,976.9,6.8,21.7,42,0.0
1567317600000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,5.6,179,48,42,21.7,976.4,976.4,9.6,9.6,0.8,21.0,976.7,8.1,21.0,48,0.0
1567321200000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,6.1,178,52,48,21.0,976.4,976.4,10.2,10.2,0.5,20.5,976.5,9.6,20.5,52,0.0
1567324800000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,4.1,178,54,52,20.5,976.7,976.4,10.5,10.5,0.0,20.1,976.7,10.2,20.1,54,0.0
1567328400000,A329,Cabrobo ,-8.504000,-39.315280,15.32,4.6,181,56,54,20.1,977.3,976.7,11.0,11.0,0.0,19.8,977.3,10.4,19.9,56,0.0
1567332000000,A329,Cabrobo ,-8.504000,-39.315280,311.2,0.0,130,57,53,20.7,977.8,977.2,10.8,11.2,0.0,19.9,977.8,10.8,20.7,53,0.0
1567335600000,A329,Cabrobo ,-8.504000,-39.315280,1017.0,6.4,112,53,43,23.5,978.6,977.8,10.1,11.1,0.3,20.6,978.7,10.0,23.5,43,0.0
1567339200000,A329,Cabrobo ,-8.504000,-39.315280,2156.0,8.1,163,43,29,25.2,978.9,978.6,5.7,9.8,2.3,23.3,979.0,5.7,25.0,29,0.0
1567342800000,A329,Cabrobo ,-8.504000,-39.315280,3007.0,8.1,169,30,22,27.6,978.3,978.3,3.7,6.4,2.5,24.8,978.9,3.7,27.3,22,0.0
1567346400000,A329,Cabrobo ,-8.504000,-39.315280,3358.0,9.9,152,22,17,29.4,977.5,977.4,2.1,4.0,3.5,27.1,978.4,0.6,28.5,18,0.0
1567350000000,A329,Cabrobo ,-8.504000,-39.315280,3310.0,9.8,189,19,17,29.8,976.3,976.3,1.8,2.6,1.7,28.3,977.5,1.1,29.8,17,0.0
1567353600000,A329,Cabrobo ,-8.504000,-39.315280,3362.0,7.8,182,17,15,31.4,974.9,974.8,1.9,2.1,0.0,29.1,976.3,1.0,31.1,16,0.0
1567357200000,A329,Cabrobo ,-8.504000,-39.315280,2957.0,7.6,180,16,16,31.6,973.9,973.9,2.2,2.5,0.1,30.2,974.9,1.6,31.4,16,0.0
1567360800000,A329,Cabrobo ,-8.504000,-39.315280,2376.0,8.4,197,16,15,32.7,973.3,973.3,2.6,3.1,0.9,31.0,973.9,2.0,32.0,16,0.0
1567364400000,A329,Cabrobo ,-8.504000,-39.315280,1583.0,7.3,171,16,16,32.4,973.2,973.1,3.1,3.1,0.6,31.5,973.3,2.4,32.2,16,0.0
1567368000000,A329,Cabrobo ,-8.504000,-39.315280,682.0,5.5,156,16,16,32.2,973.4,973.2,2.9,3.1,0.1,31.4,973.4,2.8,31.4,16,0.0
1567371600000,A329,Cabrobo ,-8.504000,-39.315280,57.33,6.3,144,17,16,31.4,973.7,973.4,2.2,2.9,0.0,30.1,973.7,2.2,30.1,17,0.0
1567375200000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,0.0,147,17,17,30.1,973.8,973.6,1.2,2.2,0.0,28.4,973.8,1.2,28.4,17,0.0
1567378800000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,2.9,162,17,17,28.5,974.3,973.8,0.8,1.3,0.0,27.7,974.3,0.8,27.7,17,0.0
1567382400000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,2.9,167,20,17,27.7,975.0,974.3,1.9,1.9,0.0,27.0,975.0,0.7,27.0,20,0.0
1567386000000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,8.6,166,25,20,27.0,975.7,975.0,4.9,4.9,2.5,26.3,975.7,1.8,26.3,25,0.0
1567389600000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,10.9,161,36,25,26.2,975.9,975.7,9.0,9.0,5.2,25.1,976.0,4.9,25.1,36,0.0
1567393200000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,11.0,157,41,36,25.1,975.8,975.8,10.3,10.4,6.3,24.2,976.0,9.0,24.2,41,0.0
1567396800000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,11.0,161,45,41,24.2,975.6,975.6,10.9,10.9,4.8,23.6,975.8,10.3,23.6,45,0.0
1567400400000,A329,Cabrobo ,-8.504000,-39.315280,-3.33,9.0,170,47,45,23.6,975.4,975.3,11.2,11.2,4.5,23.2,975.6,10.9,23.3,47,0.0
1567404000000,A329,Cabrobo ,-8.504000,-39.315280,-2.96,7.8,165,47,47,23.3,975.2,975.2,11.1,11.2,3.1,23.0,975.4,11.1,23.0,47,0.0
1567407600000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,6.6,157,48,47,23.0,975.3,975.2,11.2,11.2,1.4,22.7,975.4,11.0,22.7,48,0.0
1567411200000,A329,Cabrobo ,-8.504000,-39.315280,-3.54,5.8,158,49,48,22.7,975.7,975.3,11.1,11.2,0.2,22.4,975.7,10.9,22.4,49,0.0
1567414800000,A329,Cabrobo ,-8.504000,-39.315280,13.71,4.4,166,52,48,22.4,976.4,975.7,11.7,11.7,0.0,21.9,976.5,11.0,21.9,52,0.0
1567418400000,A329,Cabrobo ,-8.504000,-39.315280,354.1,5.6,177,53,50,22.9,977.1,976.4,11.8,12.1,1.2,21.9,977.1,11.6,22.8,50,0.0
