timestamp,stationCode,stationName,latitude,longitude,radiacao,vento_rajada,vento_direcao,umid_max,umid_min,temp_max,pressao,pressao_min,pto_orvalho_inst,pto_orvalho_max,vento_vel,temp_min,pressao_max,pto_orvalho_min,temp_inst,umid_inst,precipitacao
1567306800000,A309,Arco-verde,-8.433544,-37.055477,-3.54,6.2,104,83,81,18.6,939.9,939.9,15.0,15.4,3.5,18.0,940.5,15.0,18.1,83,0.0
1567310400000,A309,Arco-verde,-8.433544,-37.055477,-3.54,6.3,120,84,82,18.1,939.4,939.4,14.9,15.1,2.4,17.6,939.9,14.7,17.7,84,0.0
1567314000000,A309,Arco-verde,-8.433544,-37.055477,-3.54,4.4,134,84,83,17.7,938.9,938.9,14.4,14.9,1.3,17.1,939.4,14.4,17.1,84,0.0
1567317600000,A309,Arco-verde,-8.433544,-37.055477,-3.54,3.5,119,87,84,17.2,938.6,938.6,14.2,14.6,0.8,15.9,938.9,13.5,16.3,87,0.0
1567321200000,A309,Arco-verde,-8.433544,-37.055477,-3.54,3.4,168,88,86,17.0,938.6,938.5,14.2,14.7,0.1,16.1,938.7,14.0,16.2,88,0.0
1567324800000,A309,Arco-verde,-8.433544,-37.055477,-3.54,2.4,319,90,87,16.3,938.9,938.5,13.9,14.6,0.0,15.4,938.9,13.5,15.7,89,0.0
1567328400000,A309,Arco-verde,-8.433544,-37.055477,99.78,4.2,152,91,89,17.5,939.4,938.8,15.7,15.7,2.1,15.3,939.4,13.6,17.5,89,0.0
1567332000000,A309,Arco-verde,-8.433544,-37.055477,901.4,5.9,110,89,79,20.2,939.9,939.4,16.4,16.9,2.2,17.5,939.9,15.7,20.1,79,0.0
1567335600000,A309,Arco-verde,-8.433544,-37.055477,1659.0,8.1,114,80,70,22.2,940.8,939.9,16.3,16.9,3.8,20.1,940.8,15.9,21.9,71,0.0
1567339200000,A309,Arco-verde,-8.433544,-37.055477,2282.0,10.1,128,72,66,23.5,941.2,940.8,17.1,17.3,4.5,21.4,941.3,15.8,23.3,68,0.0
1567342800000,A309,Arco-verde,-8.433544,-37.055477,2795.0,8.6,136,69,60,25.3,940.6,940.6,17.2,18.1,3.8,22.8,941.2,16.2,25.3,61,0.0
1567346400000,A309,Arco-verde,-8.433544,-37.055477,3079.0,7.3,112,61,52,27.0,939.8,939.8,15.4,17.9,3.4,25.1,940.6,15.1,25.6,53,0.0
1567350000000,A309,Arco-verde,-8.433544,-37.055477,2738.0,6.8,123,55,49,27.9,938.7,938.7,15.7,17.4,2.5,25.6,939.8,15.2,27.1,50,0.0
1567353600000,A309,Arco-verde,-8.433544,-37.055477,2474.0,5.5,120,52,43,28.8,937.5,937.5,15.1,16.5,1.6,26.5,938.7,14.7,28.7,44,0.0
1567357200000,A309,Arco-verde,-8.433544,-37.055477,2787.0,5.6,157,46,39,29.5,936.7,936.7,14.7,15.7,1.3,27.8,937.5,13.3,29.5,40,0.0
1567360800000,A309,Arco-verde,-8.433544,-37.055477,1913.0,6.1,98,45,39,29.8,936.3,936.3,15.5,15.9,2.3,28.5,936.7,13.8,29.2,44,0.0
1567364400000,A309,Arco-verde,-8.433544,-37.055477,1167.0,5.4,93,46,41,29.2,936.4,936.3,15.2,16.1,3.2,28.2,936.4,14.3,28.3,45,0.0
1567368000000,A309,Arco-verde,-8.433544,-37.055477,377.8,6.9,113,56,45,28.2,936.7,936.4,16.5,16.5,3.8,26.0,936.7,15.0,26.0,56,0.0
1567371600000,A309,Arco-verde,-8.433544,-37.055477,5.777,7.2,115,63,56,26.0,937.0,936.7,16.9,17.0,4.4,24.4,937.0,16.5,24.4,63,0.0
1567375200000,A309,Arco-verde,-8.433544,-37.055477,-3.54,8.4,122,75,63,24.4,937.5,937.0,17.9,18.1,3.7,22.7,937.5,16.8,22.7,75,0.0
1567378800000,A309,Arco-verde,-8.433544,-37.055477,-3.54,10.3,112,78,75,22.7,938.0,937.5,17.8,18.4,6.0,21.8,938.0,17.8,21.8,78,0.0
1567382400000,A309,Arco-verde,-8.433544,-37.055477,-3.54,10.3,126,80,78,21.8,938.7,938.0,17.7,17.8,4.3,21.2,938.7,17.6,21.2,80,0.0
1567386000000,A309,Arco-verde,-8.433544,-37.055477,-3.54,7.0,116,82,80,21.3,939.1,938.8,17.4,17.7,3.6,20.8,939.1,17.4,20.8,81,0.0
1567389600000,A309,Arco-verde,-8.433544,-37.055477,-3.54,7.5,121,83,81,20.8,939.1,939.1,17.6,17.6,2.5,20.5,939.2,17.4,20.6,83,0.0
1567393200000,A309,Arco-verde,-8.433544,-37.055477,-3.54,8.3,110,83,82,20.6,938.7,938.7,17.5,17.6,3.6,20.3,939.1,17.3,20.5,83,0.0
1567396800000,A309,Arco-verde,-8.433544,-37.055477,-3.54,8.3,119,84,82,20.5,938.4,938.4,17.2,17.5,3.2,20.0,938.7,17.1,20.1,83,0.0
1567400400000,A309,Arco-verde,-8.433544,-37.055477,-3.53,7.2,99,84,83,20.2,937.9,937.9,16.9,17.3,2.5,19.6,938.5,16.7,19.8,84,0.0
