timestamp,stationCode,stationName,latitude,longitude,radiacao,vento_rajada,vento_direcao,umid_max,umid_min,temp_max,pressao,pressao_min,pto_orvalho_inst,pto_orvalho_max,vento_vel,temp_min,pressao_max,pto_orvalho_min,temp_inst,umid_inst,precipitacao
1567306800000,A307,Petrolina ,-9.388323,-40.523262,-3.54,9.1,116,58,50,25.2,973.9,973.8,15.4,15.4,3.7,24.2,973.9,14.1,24.2,58,0.0
1567310400000,A307,Petrolina ,-9.388323,-40.523262,-3.54,7.2,116,61,58,24.2,973.4,973.4,15.4,15.5,3.6,23.3,973.9,15.4,23.3,61,0.0
1567314000000,A307,Petrolina ,-9.388323,-40.523262,-3.54,8.2,115,63,61,23.3,972.8,972.8,15.2,15.4,3.3,22.5,973.4,15.2,22.5,63,0.0
1567317600000,A307,Petrolina ,-9.388323,-40.523262,-3.54,6.1,116,67,63,22.5,972.7,972.6,15.4,15.4,3.1,21.8,972.8,15.1,21.8,67,0.0
1567321200000,A307,Petrolina ,-9.388323,-40.523262,-3.54,6.5,113,68,67,21.9,972.7,972.6,15.1,15.4,3.2,21.3,972.8,15.1,21.3,68,0.0
1567324800000,A307,Petrolina ,-9.388323,-40.523262,-3.54,6.4,123,69,68,21.3,973.3,972.7,15.0,15.1,2.6,20.8,973.3,15.0,20.8,69,0.0
1567328400000,A307,Petrolina ,-9.388323,-40.523262,-2.12,5.6,137,72,69,20.8,973.8,973.2,15.2,15.3,3.2,20.3,973.8,15.0,20.3,72,0.0
1567332000000,A307,Petrolina ,-9.388323,-40.523262,164.8,5.3,127,73,71,20.8,974.5,973.8,15.4,15.5,2.5,20.3,974.5,15.2,20.8,71,0.0
1567335600000,A307,Petrolina ,-9.388323,-40.523262,648.6,7.9,130,71,62,22.3,975.0,974.5,14.7,15.6,4.5,20.8,975.1,14.5,22.1,63,0.0
1567339200000,A307,Petrolina ,-9.388323,-40.523262,1251.0,8.3,118,64,55,24.2,975.5,975.0,14.6,15.2,4.3,21.9,975.5,14.1,24.2,55,0.0
1567342800000,A307,Petrolina ,-9.388323,-40.523262,2028.0,7.8,124,55,45,26.6,975.1,975.1,13.0,14.7,3.9,23.8,975.6,13.0,25.7,46,0.0
1567346400000,A307,Petrolina ,-9.388323,-40.523262,2420.0,8.4,122,48,40,27.7,974.4,974.3,12.9,13.9,4.0,25.6,975.1,12.6,27.4,41,0.0
1567350000000,A307,Petrolina ,-9.388323,-40.523262,2581.0,7.8,126,41,34,29.5,973.2,973.2,12.0,13.2,2.5,27.4,974.4,11.5,29.2,35,0.0
1567353600000,A307,Petrolina ,-9.388323,-40.523262,2537.0,7.3,135,35,30,31.0,971.7,971.7,11.0,12.2,3.2,28.8,973.2,10.9,30.0,31,0.0
1567357200000,A307,Petrolina ,-9.388323,-40.523262,2314.0,6.6,159,31,27,31.6,970.5,970.5,10.5,11.7,2.5,29.8,971.7,10.0,31.4,28,0.0
1567360800000,A307,Petrolina ,-9.388323,-40.523262,1917.0,6.6,135,28,25,32.4,969.6,969.6,9.6,10.6,3.1,30.9,970.5,9.3,31.3,26,0.0
1567364400000,A307,Petrolina ,-9.388323,-40.523262,1350.0,7.0,135,26,23,32.6,969.3,969.3,9.3,10.0,2.8,31.3,969.7,8.7,32.1,25,0.0
